ISLAMIC HUMAN RIGHTS COMMISSION TRUST,1106120,TO PROMOTE HUMAN RIGHTS AND EQUALITY AND DIVERSITY (IN PARTICULAR GOOD RACE RELATIONS) THROUGHOUT THE WORLD FOR THE BENEFIT OF THE PUBLIC,MR RAZA KAZIM,"PO BOX 598, WEMBLEY, HA9 7XH",,,2004-09-30,,2009-06-30,,,,http://OpenlyLocal.com/charities/10595-ISLAMIC-HUMAN-RIGHTS-COMMISSION-TRUST,,,,,"203,207,206,108,308,204,117,201,102,205,301,202,101,302",false,2010-09-19T20:27:22+01:00,2010-08-22T20:55:30+01:00,2012-04-15T11:15:25+01:00
SHRI VALLABH NIDHI - UK,277833,GENERAL CHARITABLE ACTIVITIES RELIEF OF POVERTY RELIGIOUS ACTIVITIES,MR NARENDRA H THAKRAR,"SHRI VALLABH NIDHI-UK, PO BOX 700, EALING ROAD, WEMBLEY, HA0 4TA",http://www.svnuk.org,020 8902 1742,1979-06-28,,2008-12-31,,,,http://OpenlyLocal.com/charities/10754-SHRI-VALLABH-NIDHI-UK,,,SVNUK,http://www.svnuk.org/feed,"204,105,202,306,201,305,101,108",false,2010-09-19T20:30:03+01:00,2010-08-22T20:55:37+01:00,2012-04-15T10:31:40+01:00
THE DRAMA WORKHOUSE,1078620,"THE ADVANCEMENT OF EDUCATION AND TRAINING OF CHILDREN, YOUNG PEOPLE AND ADULTS, ESPECIALLY THOSE WHO WOULD NOT ORDINARILY HAVE ACCESS TO THE ARTS.",KAYE JAMES,"PO BOX 957, WEMBLEY, HA0 9EZ",http://www.dramaworkhouse.org.uk,07958 65 37 25,1999-12-15,,2009-07-31,,,,http://OpenlyLocal.com/charities/10816-THE-DRAMA-WORKHOUSE,,,,,"109,207,306,201,102",false,2010-09-19T20:31:06+01:00,2010-08-22T20:55:39+01:00,2012-04-15T11:08:55+01:00
WANZA SAMAJ U.K.,1051458,SPORTS AND CULTRUAL EVENTS FOR THE BENEFITS OF THE LOCAL COMMUNITY,MR ASHOK DAMJI BHARAKDA,"THE WANZA SAMAJ UK, PO BOX 673, WEMBLEY, HA0 3ZJ",http://www.wanzasamaj.org,0208 863 6822,1995-12-15,,2008-12-31,,,,http://OpenlyLocal.com/charities/10919-WANZA-SAMAJ-U-K-,,,,,"207,101,310",false,2010-09-19T20:36:11+01:00,2010-08-22T20:55:43+01:00,2012-04-15T11:02:16+01:00
BRITISH MESSIANIC JEWISH ALLIANCE,1088805,NO INFORMATION RECORDED,MRS DEBBIE ROGERS,"BRITISH MESSIANIC JEWISH ALLIANCE, PO BOX 607, HARROW, HA2 9TF",http://www.bmja.net,,2001-10-09,,2008-12-31,,,,http://OpenlyLocal.com/charities/57761-BRITISH-MESSIANIC-JEWISH-ALLIANCE,,,,,"309,201,102,204,301,108,202,205",false,2010-09-20T21:36:50+01:00,2010-08-22T22:18:55+01:00,2012-04-15T11:11:11+01:00
CRISIS COUNSELLING FOR ALLEGED SHOPLIFTERS,298165,COUNSELLING FOR ALLEGED SHOPLIFTERS,MR HARRY KAUFFER,"PO BOX 147, STANMORE, MIDDLESEX, HA7 4PQ",,020 8954 8987,1987-12-07,,2009-03-31,626,208,,http://OpenlyLocal.com/charities/57795-CRISIS-COUNSELLING-FOR-ALLEGED-SHOPLIFTERS,,,,,"307,207,201,103,202,101,306",false,2010-09-20T21:37:24+01:00,2010-08-22T22:18:58+01:00,2012-04-15T10:36:02+01:00
EDWARD HARVIST (ALSO KNOWN AS THE HARVIST ESTATE),211970,"TO PROVIDE RELIEF & SUPPORT FOR NEEDY INHABITANTS OF LONDON BOROUGH OF BARNET, BRENT, CAMDEN. HARROW AND THE CITY OF WESTMINSTER",MRS JENNIFER HYDARI,"LONDON BOROUGH OF HARROW: FINANCE D, PO BOX 21, HARROW, HA1 2UJ",,020 8424 1393,1962-11-09,,2009-03-31,234486,261211,,http://OpenlyLocal.com/charities/57813-EDWARD-HARVIST-ALSO-KNOWN-AS-THE-HARVIST-ESTATE-,,,,,"202,105,302,110,201,103,109",false,2010-09-20T21:37:44+01:00,2010-08-22T22:19:00+01:00,2012-04-15T10:06:29+01:00
HEADWAY NORTH WEST LONDON,1110088,"THE PRINCIPAL ACTIVITY OF THE ORGANISATION IS THE RELIEF, CONTINUING REHABILITATION AND SUPPORT OF PEOPLE WHO HAVE SUFFERED HEAD INJURY OR BRAIN DAMAGE THROUGH ILLNESS OR ACCIDENT AND THEIR SPOUSES, PARTNERS OR RELATIVES WHO HAVE UNPAID RESPONSIBILITY FOR THEIR DAILY CARE AND TREATMENT.",MISS FIONA LAPRAIK,"HEADWAY N W LONDON, PO BOX 1025, HARROW, HA1 9FY",http://www.headway.org.uk,,2005-06-17,,2009-11-30,,,,http://OpenlyLocal.com/charities/57926-HEADWAY-NORTH-WEST-LONDON,HeadwayUK');,,headwayuk');,,"307,103,206,203,104,310,306",false,2010-09-20T21:39:47+01:00,2010-08-22T22:19:13+01:00,2012-04-15T11:16:52+01:00
JEWISH MUSIC INSTITUTE,328228,"THE JEWISH MUSIC INSTITUTE IS DEDICATED TO THE CELEBRATION, PRESERVATION AND DEVELOPMENT OF THE LIVING HERITAGE OF JEWISH MUSIC FOR THE BENEFIT OF ALL.",MRS TRUDII GOODRICK,"PO BOX 232, HARROW, MIDDLESEX, HA1 2NN",http://www.jmi.org.co.uk,0208 909 2445,1989-06-14,,2009-12-31,,,2387749,http://OpenlyLocal.com/charities/57951-JEWISH-MUSIC-INSTITUTE,,,,,"207,102,201,306,202,204,109,101,203,308",false,2010-09-20T21:41:00+01:00,2010-08-22T22:19:17+01:00,2012-04-15T10:41:07+01:00
MAYOR OF HARROW'S CHARITY FUND,219034,"APPLICANTS SHOULD BE RESIDENT IN LONDON BOROUGH OF HARROW. GRANTS ALLOWED ARE DISCRETIONARY BASED ON ESSENTIAL NEEDS RATHER THAN DESIRABLE, THIS INCLUDES PROVISION OF BASIC LIVING CONDITIONS- FOOD, CLOTHING, HEATING ESSENTIAL FURNISHINGS SUCH AS BEDS, COOKERS, RUGS, CHILDCARE EQUIP,HEALTH TREATMENT. GRANTS TOWARDS HOLIDAYS/SCHOOL TRIPS FOR CHILDREN FROM HOMES IN DIFFICULT FINANCIAL CIRCUMSTANCES.",HASINA SHAH,"LONDON BOROUGH OF HARROW: FINANCE D, PO BOX 21, HARROW, HA1 2UJ",,020 8424 1573,1964-04-14,,2009-05-06,4634,5233,,http://OpenlyLocal.com/charities/57993-MAYOR-OF-HARROW-S-CHARITY-FUND,,,,,"202,205,302,203,301,101,201",false,2010-09-20T21:41:42+01:00,2010-08-22T22:19:21+01:00,2012-04-15T10:08:31+01:00
